"ID";"WoonlandVanGasten";"RegioS";"Perioden";"Gasten_1"
"16";"T001047";"NL01  ";"2012JJ00";"21014"
"33";"T001047";"NL01  ";"2013JJ00";"21521"
"50";"T001047";"NL01  ";"2014JJ00";"23122"
"67";"T001047";"NL01  ";"2015JJ00";"24176"
"84";"T001047";"NL01  ";"2016JJ00";"25758"
"101";"T001047";"NL01  ";"2017JJ00";"28572"
"118";"T001047";"NL01  ";"2018JJ00";"29646"
"135";"T001047";"NL01  ";"2019JJ00";"30569"
"152";"T001047";"NL01  ";"2020JJ00";"16163"
"169";"T001047";"NL01  ";"2021JJ00";"17460"
"186";"T001047";"NL01  ";"2022JJ00";"28124"
