"ID";"WoonlandVanGasten";"RegioS";"Perioden";"Gasten_1"
"4624";"T001047";"GM0599";"2012JJ00";"778"
"4641";"T001047";"GM0599";"2013JJ00";"796"
"4658";"T001047";"GM0599";"2014JJ00";"896"
"4675";"T001047";"GM0599";"2015JJ00";"969"
"4692";"T001047";"GM0599";"2016JJ00";"1058"
"4709";"T001047";"GM0599";"2017JJ00";"1141"
"4726";"T001047";"GM0599";"2018JJ00";"1261"
"4743";"T001047";"GM0599";"2019JJ00";"1237"
"4760";"T001047";"GM0599";"2020JJ00";"637"
"4777";"T001047";"GM0599";"2021JJ00";"670"
"4794";"T001047";"GM0599";"2022JJ00";"1191"
