"ID";"WoonlandVanGasten";"RegioS";"Perioden";"Gasten_1"
"5008";"T001047";"GM0344";"2012JJ00";"324"
"5025";"T001047";"GM0344";"2013JJ00";"302"
"5042";"T001047";"GM0344";"2014JJ00";"323"
"5059";"T001047";"GM0344";"2015JJ00";"355"
"5076";"T001047";"GM0344";"2016JJ00";"353"
"5093";"T001047";"GM0344";"2017JJ00";"460"
"5110";"T001047";"GM0344";"2018JJ00";"441"
"5127";"T001047";"GM0344";"2019JJ00";"449"
"5144";"T001047";"GM0344";"2020JJ00";"297"
"5161";"T001047";"GM0344";"2021JJ00";"306"
"5178";"T001047";"GM0344";"2022JJ00";"585"
